RUN	OrderSystemLoadTest	ordersystemloadtest	1771285700748	 	3.2.1
USER	Shopping Spree	56	START	1771285705802	1771285705802
USER	Shopping Spree	57	START	1771285705872	1771285705872
USER	Shopping Spree	58	START	1771285705932	1771285705932
USER	Shopping Spree	59	START	1771285705992	1771285705992
USER	Shopping Spree	60	START	1771285706051	1771285706051
USER	Shopping Spree	61	START	1771285706121	1771285706121
USER	Shopping Spree	62	START	1771285706182	1771285706182
USER	Shopping Spree	63	START	1771285706232	1771285706232
USER	Shopping Spree	64	START	1771285706291	1771285706291
USER	Shopping Spree	65	START	1771285706351	1771285706351
USER	Shopping Spree	66	START	1771285706412	1771285706412
USER	Shopping Spree	67	START	1771285706471	1771285706471
USER	Shopping Spree	68	START	1771285706532	1771285706532
USER	Shopping Spree	69	START	1771285706592	1771285706592
USER	Shopping Spree	70	START	1771285706652	1771285706652
USER	Shopping Spree	71	START	1771285706712	1771285706712
USER	Shopping Spree	72	START	1771285706762	1771285706762
USER	Shopping Spree	73	START	1771285706821	1771285706821
USER	Shopping Spree	74	START	1771285706881	1771285706881
USER	Shopping Spree	75	START	1771285706941	1771285706941
USER	Shopping Spree	76	START	1771285707002	1771285707002
USER	Shopping Spree	77	START	1771285707062	1771285707062
USER	Shopping Spree	78	START	1771285707122	1771285707122
USER	Shopping Spree	79	START	1771285707182	1771285707182
USER	Shopping Spree	80	START	1771285707231	1771285707231
USER	Shopping Spree	81	START	1771285707292	1771285707292
USER	Shopping Spree	82	START	1771285707352	1771285707352
USER	Shopping Spree	83	START	1771285707411	1771285707411
USER	Shopping Spree	84	START	1771285707472	1771285707472
USER	Shopping Spree	85	START	1771285707532	1771285707532
USER	Shopping Spree	86	START	1771285707592	1771285707592
USER	Shopping Spree	87	START	1771285707651	1771285707651
USER	Shopping Spree	88	START	1771285707712	1771285707712
USER	Shopping Spree	89	START	1771285707762	1771285707762
USER	Shopping Spree	90	START	1771285707822	1771285707822
USER	Shopping Spree	91	START	1771285707882	1771285707882
USER	Shopping Spree	92	START	1771285707941	1771285707941
USER	Shopping Spree	93	START	1771285708002	1771285708002
USER	Shopping Spree	94	START	1771285708061	1771285708061
USER	Shopping Spree	95	START	1771285708121	1771285708121
USER	Shopping Spree	96	START	1771285708181	1771285708181
USER	Shopping Spree	97	START	1771285708242	1771285708242
USER	Shopping Spree	98	START	1771285708301	1771285708301
USER	Shopping Spree	99	START	1771285708371	1771285708371
USER	Shopping Spree	100	START	1771285708431	1771285708431
USER	Shopping Spree	101	START	1771285708491	1771285708491
USER	Shopping Spree	102	START	1771285708551	1771285708551
USER	Shopping Spree	103	START	1771285708621	1771285708621
USER	Shopping Spree	104	START	1771285708682	1771285708682
USER	Shopping Spree	105	START	1771285708741	1771285708741
USER	Shopping Spree	106	START	1771285708802	1771285708802
USER	Shopping Spree	107	START	1771285708871	1771285708871
USER	Shopping Spree	108	START	1771285708932	1771285708932
USER	Shopping Spree	109	START	1771285708991	1771285708991
USER	Shopping Spree	110	START	1771285709052	1771285709052
USER	Shopping Spree	111	START	1771285709121	1771285709121
USER	Shopping Spree	112	START	1771285709181	1771285709181
USER	Shopping Spree	113	START	1771285709232	1771285709232
USER	Shopping Spree	114	START	1771285709292	1771285709292
USER	Shopping Spree	115	START	1771285709352	1771285709352
USER	Shopping Spree	116	START	1771285709411	1771285709411
USER	Shopping Spree	117	START	1771285709471	1771285709471
USER	Shopping Spree	118	START	1771285709531	1771285709531
USER	Shopping Spree	119	START	1771285709592	1771285709592
USER	Shopping Spree	120	START	1771285709651	1771285709651
USER	Shopping Spree	121	START	1771285709712	1771285709712
USER	Shopping Spree	122	START	1771285709761	1771285709761
USER	Shopping Spree	123	START	1771285709821	1771285709821
USER	Shopping Spree	124	START	1771285709882	1771285709882
USER	Shopping Spree	125	START	1771285709941	1771285709941
USER	Shopping Spree	126	START	1771285710002	1771285710002
USER	Shopping Spree	127	START	1771285710061	1771285710061
USER	Shopping Spree	128	START	1771285710121	1771285710121
USER	Shopping Spree	129	START	1771285710181	1771285710181
USER	Shopping Spree	130	START	1771285710242	1771285710242
USER	Shopping Spree	131	START	1771285710291	1771285710291
USER	Shopping Spree	132	START	1771285710352	1771285710352
USER	Shopping Spree	133	START	1771285710412	1771285710412
USER	Shopping Spree	134	START	1771285710471	1771285710471
USER	Shopping Spree	135	START	1771285710531	1771285710531
USER	Shopping Spree	136	START	1771285710592	1771285710592
USER	Shopping Spree	137	START	1771285710652	1771285710652
USER	Shopping Spree	138	START	1771285710711	1771285710711
USER	Shopping Spree	139	START	1771285710771	1771285710771
USER	Shopping Spree	140	START	1771285710821	1771285710821
USER	Shopping Spree	141	START	1771285710881	1771285710881
USER	Shopping Spree	142	START	1771285710942	1771285710942
USER	Shopping Spree	143	START	1771285711002	1771285711002
USER	Shopping Spree	144	START	1771285711061	1771285711061
USER	Shopping Spree	145	START	1771285711121	1771285711121
USER	Shopping Spree	146	START	1771285711186	1771285711186
USER	Shopping Spree	147	START	1771285711241	1771285711241
USER	Shopping Spree	148	START	1771285711302	1771285711302
REQUEST	12		View Home Page	1771285703173	1771285711318	OK	 
REQUEST	2		View Home Page	1771285703167	1771285711298	OK	 
REQUEST	9		View Home Page	1771285703166	1771285711278	OK	 
REQUEST	124		View Home Page	1771285709883	1771285711316	OK	 
REQUEST	32		View Home Page	1771285704363	1771285711303	OK	 
REQUEST	14		View Home Page	1771285703292	1771285711326	OK	 
REQUEST	46		View Home Page	1771285705183	1771285711312	OK	 
REQUEST	7		View Home Page	1771285703167	1771285711324	OK	 
REQUEST	10		View Home Page	1771285703166	1771285711320	OK	 
REQUEST	15		View Home Page	1771285703352	1771285711328	OK	 
REQUEST	114		View Home Page	1771285709293	1771285711303	OK	 
REQUEST	131		View Home Page	1771285710292	1771285711310	OK	 
REQUEST	5		View Home Page	1771285703167	1771285711313	OK	 
REQUEST	1		View Home Page	1771285703167	1771285711298	OK	 
REQUEST	19		View Home Page	1771285703592	1771285711320	OK	 
REQUEST	94		View Home Page	1771285708062	1771285711342	OK	 
REQUEST	4		View Home Page	1771285703167	1771285711342	OK	 
REQUEST	67		View Home Page	1771285706472	1771285711346	OK	 
REQUEST	42		View Home Page	1771285704952	1771285711345	OK	 
REQUEST	22		View Home Page	1771285703773	1771285711346	OK	 
REQUEST	43		View Home Page	1771285705013	1771285711348	OK	 
REQUEST	11		View Home Page	1771285703167	1771285711342	OK	 
REQUEST	83		View Home Page	1771285707412	1771285711349	OK	 
REQUEST	59		View Home Page	1771285705993	1771285711350	OK	 
REQUEST	90		View Home Page	1771285707823	1771285711350	OK	 
REQUEST	107		View Home Page	1771285708872	1771285711351	OK	 
REQUEST	142		View Home Page	1771285710943	1771285711349	OK	 
REQUEST	118		View Home Page	1771285709533	1771285711353	OK	 
REQUEST	26		View Home Page	1771285704013	1771285711353	OK	 
REQUEST	138		View Home Page	1771285710712	1771285711351	OK	 
REQUEST	35		View Home Page	1771285704542	1771285711352	OK	 
REQUEST	146		View Home Page	1771285711187	1771285711354	OK	 
REQUEST	50		View Home Page	1771285705433	1771285711355	OK	 
REQUEST	56		View Home Page	1771285705803	1771285711356	OK	 
REQUEST	104		View Home Page	1771285708683	1771285711357	OK	 
REQUEST	25		View Home Page	1771285703953	1771285711357	OK	 
REQUEST	128		View Home Page	1771285710123	1771285711358	OK	 
REQUEST	73		View Home Page	1771285706822	1771285711358	OK	 
REQUEST	80		View Home Page	1771285707232	1771285711359	OK	 
REQUEST	97		View Home Page	1771285708243	1771285711359	OK	 
REQUEST	121		View Home Page	1771285709712	1771285711360	OK	 
REQUEST	74		View Home Page	1771285706882	1771285711360	OK	 
REQUEST	145		View Home Page	1771285711122	1771285711361	OK	 
REQUEST	122		View Home Page	1771285709762	1771285711361	OK	 
USER	Shopping Spree	149	START	1771285711371	1771285711371
REQUEST	60		View Home Page	1771285706052	1771285711381	OK	 
REQUEST	70		View Home Page	1771285706652	1771285711382	OK	 
REQUEST	108		View Home Page	1771285708933	1771285711383	OK	 
REQUEST	57		View Home Page	1771285705872	1771285711383	OK	 
REQUEST	84		View Home Page	1771285707473	1771285711386	OK	 
REQUEST	3		View Home Page	1771285703166	1771285711386	OK	 
REQUEST	38		View Home Page	1771285704713	1771285711386	OK	 
REQUEST	132		View Home Page	1771285710352	1771285711387	OK	 
REQUEST	77		View Home Page	1771285707063	1771285711385	OK	 
REQUEST	65		View Home Page	1771285706353	1771285711388	OK	 
REQUEST	53		View Home Page	1771285705622	1771285711388	OK	 
REQUEST	17		View Home Page	1771285703472	1771285711389	OK	 
REQUEST	41		View Home Page	1771285704892	1771285711390	OK	 
REQUEST	47		View Home Page	1771285705243	1771285711390	OK	 
REQUEST	86		View Home Page	1771285707593	1771285711391	OK	 
REQUEST	63		View Home Page	1771285706233	1771285711393	OK	 
REQUEST	119		View Home Page	1771285709592	1771285711393	OK	 
REQUEST	125		View Home Page	1771285709942	1771285711393	OK	 
REQUEST	105		View Home Page	1771285708743	1771285711396	OK	 
REQUEST	101		View Home Page	1771285708493	1771285711398	OK	 
REQUEST	18		View Home Page	1771285703533	1771285711400	OK	 
REQUEST	134		View Home Page	1771285710472	1771285711401	OK	 
REQUEST	16		View Home Page	1771285703413	1771285711404	OK	 
REQUEST	20		View Home Page	1771285703662	1771285711407	OK	 
REQUEST	30		View Home Page	1771285704243	1771285711409	OK	 
REQUEST	24		View Home Page	1771285703892	1771285711412	OK	 
REQUEST	75		View Home Page	1771285706942	1771285711413	OK	 
REQUEST	27		View Home Page	1771285704073	1771285711414	OK	 
REQUEST	48		View Home Page	1771285705302	1771285711414	OK	 
REQUEST	96		View Home Page	1771285708182	1771285711416	OK	 
REQUEST	21		View Home Page	1771285703712	1771285711414	OK	 
REQUEST	69		View Home Page	1771285706593	1771285711417	OK	 
REQUEST	72		View Home Page	1771285706763	1771285711417	OK	 
REQUEST	113		View Home Page	1771285709233	1771285711417	OK	 
REQUEST	93		View Home Page	1771285708003	1771285711418	OK	 
REQUEST	88		View Home Page	1771285707713	1771285711418	OK	 
REQUEST	120		View Home Page	1771285709652	1771285711418	OK	 
REQUEST	123		View Home Page	1771285709822	1771285711419	OK	 
REQUEST	40		View Home Page	1771285704832	1771285711419	OK	 
REQUEST	109		View Home Page	1771285708992	1771285711420	OK	 
REQUEST	147		View Home Page	1771285711242	1771285711420	OK	 
REQUEST	112		View Home Page	1771285709182	1771285711420	OK	 
REQUEST	87		View Home Page	1771285707653	1771285711420	OK	 
REQUEST	136		View Home Page	1771285710593	1771285711420	OK	 
REQUEST	52		View Home Page	1771285705552	1771285711420	OK	 
REQUEST	68		View Home Page	1771285706533	1771285711421	OK	 
REQUEST	64		View Home Page	1771285706292	1771285711421	OK	 
REQUEST	39		View Home Page	1771285704773	1771285711422	OK	 
REQUEST	31		View Home Page	1771285704303	1771285711423	OK	 
REQUEST	116		View Home Page	1771285709412	1771285711423	OK	 
REQUEST	91		View Home Page	1771285707882	1771285711424	OK	 
REQUEST	115		View Home Page	1771285709353	1771285711426	OK	 
REQUEST	149		View Home Page	1771285711373	1771285711427	OK	 
REQUEST	36		View Home Page	1771285704603	1771285711427	OK	 
REQUEST	139		View Home Page	1771285710772	1771285711428	OK	 
REQUEST	55		View Home Page	1771285705742	1771285711429	OK	 
REQUEST	34		View Home Page	1771285704483	1771285711429	OK	 
REQUEST	58		View Home Page	1771285705932	1771285711430	OK	 
REQUEST	28		View Home Page	1771285704133	1771285711429	OK	 
REQUEST	106		View Home Page	1771285708803	1771285711431	OK	 
USER	Shopping Spree	150	START	1771285711431	1771285711431
REQUEST	33		View Home Page	1771285704423	1771285711432	OK	 
REQUEST	82		View Home Page	1771285707353	1771285711433	OK	 
REQUEST	81		View Home Page	1771285707293	1771285711433	OK	 
REQUEST	29		View Home Page	1771285704183	1771285711433	OK	 
REQUEST	49		View Home Page	1771285705373	1771285711435	OK	 
REQUEST	62		View Home Page	1771285706182	1771285711435	OK	 
REQUEST	130		View Home Page	1771285710243	1771285711437	OK	 
REQUEST	23		View Home Page	1771285703833	1771285711437	OK	 
REQUEST	71		View Home Page	1771285706713	1771285711438	OK	 
REQUEST	95		View Home Page	1771285708122	1771285711438	OK	 
REQUEST	111		View Home Page	1771285709122	1771285711438	OK	 
REQUEST	6		View Home Page	1771285703167	1771285711439	OK	 
REQUEST	8		View Home Page	1771285703167	1771285711440	OK	 
REQUEST	110		View Home Page	1771285709053	1771285711440	OK	 
REQUEST	129		View Home Page	1771285710182	1771285711440	OK	 
REQUEST	54		View Home Page	1771285705683	1771285711441	OK	 
REQUEST	143		View Home Page	1771285711003	1771285711441	OK	 
REQUEST	78		View Home Page	1771285707123	1771285711443	OK	 
REQUEST	13		View Home Page	1771285703232	1771285711443	OK	 
REQUEST	102		View Home Page	1771285708552	1771285711444	OK	 
REQUEST	135		View Home Page	1771285710532	1771285711444	OK	 
REQUEST	44		View Home Page	1771285705073	1771285711444	OK	 
REQUEST	66		View Home Page	1771285706412	1771285711445	OK	 
REQUEST	61		View Home Page	1771285706122	1771285711445	OK	 
REQUEST	79		View Home Page	1771285707182	1771285711445	OK	 
REQUEST	37		View Home Page	1771285704662	1771285711446	OK	 
REQUEST	99		View Home Page	1771285708372	1771285711446	OK	 
REQUEST	89		View Home Page	1771285707763	1771285711446	OK	 
REQUEST	126		View Home Page	1771285710003	1771285711446	OK	 
REQUEST	76		View Home Page	1771285707003	1771285711447	OK	 
REQUEST	137		View Home Page	1771285710652	1771285711448	OK	 
REQUEST	51		View Home Page	1771285705493	1771285711448	OK	 
REQUEST	45		View Home Page	1771285705132	1771285711448	OK	 
REQUEST	144		View Home Page	1771285711062	1771285711448	OK	 
REQUEST	92		View Home Page	1771285707942	1771285711448	OK	 
REQUEST	141		View Home Page	1771285710882	1771285711448	OK	 
REQUEST	100		View Home Page	1771285708432	1771285711448	OK	 
REQUEST	117		View Home Page	1771285709472	1771285711449	OK	 
REQUEST	103		View Home Page	1771285708622	1771285711449	OK	 
REQUEST	98		View Home Page	1771285708302	1771285711450	OK	 
REQUEST	127		View Home Page	1771285710062	1771285711450	OK	 
REQUEST	85		View Home Page	1771285707533	1771285711450	OK	 
REQUEST	140		View Home Page	1771285710822	1771285711450	OK	 
REQUEST	148		View Home Page	1771285711303	1771285711451	OK	 
REQUEST	133		View Home Page	1771285710413	1771285711451	OK	 
REQUEST	150		View Home Page	1771285711431	1771285711454	OK	 
USER	Shopping Spree	151	START	1771285711492	1771285711492
REQUEST	151		View Home Page	1771285711492	1771285711499	OK	 
USER	Shopping Spree	152	START	1771285711552	1771285711552
REQUEST	152		View Home Page	1771285711552	1771285711557	OK	 
USER	Shopping Spree	153	START	1771285711622	1771285711622
REQUEST	153		View Home Page	1771285711622	1771285711627	OK	 
USER	Shopping Spree	154	START	1771285711681	1771285711681
REQUEST	154		View Home Page	1771285711682	1771285711688	OK	 
USER	Shopping Spree	155	START	1771285711741	1771285711741
REQUEST	155		View Home Page	1771285711742	1771285711748	OK	 
USER	Shopping Spree	156	START	1771285711802	1771285711802
REQUEST	156		View Home Page	1771285711803	1771285711809	OK	 
USER	Shopping Spree	157	START	1771285711871	1771285711871
REQUEST	157		View Home Page	1771285711872	1771285711879	OK	 
USER	Shopping Spree	158	START	1771285711932	1771285711932
REQUEST	158		View Home Page	1771285711933	1771285711939	OK	 
USER	Shopping Spree	159	START	1771285711992	1771285711992
REQUEST	159		View Home Page	1771285711992	1771285711999	OK	 
USER	Shopping Spree	160	START	1771285712052	1771285712052
REQUEST	160		View Home Page	1771285712053	1771285712059	OK	 
USER	Shopping Spree	161	START	1771285712121	1771285712121
REQUEST	161		View Home Page	1771285712122	1771285712129	OK	 
USER	Shopping Spree	162	START	1771285712181	1771285712181
REQUEST	162		View Home Page	1771285712182	1771285712189	OK	 
USER	Shopping Spree	163	START	1771285712231	1771285712231
REQUEST	163		View Home Page	1771285712232	1771285712238	OK	 
USER	Shopping Spree	164	START	1771285712291	1771285712291
REQUEST	164		View Home Page	1771285712292	1771285712299	OK	 
USER	Shopping Spree	165	START	1771285712352	1771285712352
REQUEST	165		View Home Page	1771285712353	1771285712365	OK	 
USER	Shopping Spree	166	START	1771285712412	1771285712412
USER	Shopping Spree	167	START	1771285712472	1771285712472
USER	Shopping Spree	168	START	1771285712531	1771285712531
USER	Shopping Spree	169	START	1771285712591	1771285712591
USER	Shopping Spree	170	START	1771285712652	1771285712652
USER	Shopping Spree	171	START	1771285712711	1771285712711
USER	Shopping Spree	172	START	1771285712762	1771285712762
USER	Shopping Spree	173	START	1771285712821	1771285712821
USER	Shopping Spree	174	START	1771285712882	1771285712882
USER	Shopping Spree	175	START	1771285712941	1771285712941
USER	Shopping Spree	176	START	1771285713001	1771285713001
USER	Shopping Spree	177	START	1771285713062	1771285713062
USER	Shopping Spree	178	START	1771285713121	1771285713121
USER	Shopping Spree	179	START	1771285713182	1771285713182
USER	Shopping Spree	180	START	1771285713232	1771285713232
USER	Shopping Spree	181	START	1771285713292	1771285713292
USER	Shopping Spree	182	START	1771285713351	1771285713351
USER	Shopping Spree	183	START	1771285713411	1771285713411
USER	Shopping Spree	184	START	1771285713471	1771285713471
USER	Shopping Spree	185	START	1771285713532	1771285713532
USER	Shopping Spree	186	START	1771285713591	1771285713591
USER	Shopping Spree	187	START	1771285713651	1771285713651
USER	Shopping Spree	188	START	1771285713712	1771285713712
USER	Shopping Spree	189	START	1771285713762	1771285713762
USER	Shopping Spree	190	START	1771285713822	1771285713822
USER	Shopping Spree	191	START	1771285713882	1771285713882
USER	Shopping Spree	192	START	1771285713941	1771285713941
USER	Shopping Spree	193	START	1771285714002	1771285714002
USER	Shopping Spree	194	START	1771285714061	1771285714061
USER	Shopping Spree	195	START	1771285714122	1771285714122
USER	Shopping Spree	196	START	1771285714182	1771285714182
USER	Shopping Spree	197	START	1771285714241	1771285714241
USER	Shopping Spree	198	START	1771285714312	1771285714312
USER	Shopping Spree	199	START	1771285714372	1771285714372
USER	Shopping Spree	200	START	1771285714432	1771285714432
USER	Shopping Spree	201	START	1771285714492	1771285714492
USER	Shopping Spree	202	START	1771285714561	1771285714561
USER	Shopping Spree	203	START	1771285714621	1771285714621
USER	Shopping Spree	204	START	1771285714681	1771285714681
USER	Shopping Spree	205	START	1771285714741	1771285714741
USER	Shopping Spree	206	START	1771285714811	1771285714811
USER	Shopping Spree	207	START	1771285714871	1771285714871
USER	Shopping Spree	208	START	1771285714931	1771285714931
USER	Shopping Spree	209	START	1771285714992	1771285714992
USER	Shopping Spree	210	START	1771285715061	1771285715061
USER	Shopping Spree	211	START	1771285715122	1771285715122
USER	Shopping Spree	212	START	1771285715182	1771285715182
USER	Shopping Spree	213	START	1771285715242	1771285715242
USER	Shopping Spree	214	START	1771285715292	1771285715292
USER	Shopping Spree	215	START	1771285715352	1771285715352
USER	Shopping Spree	216	START	1771285715412	1771285715412
USER	Shopping Spree	217	START	1771285715471	1771285715471
USER	Shopping Spree	218	START	1771285715531	1771285715531
USER	Shopping Spree	219	START	1771285715592	1771285715592
USER	Shopping Spree	220	START	1771285715651	1771285715651
USER	Shopping Spree	221	START	1771285715712	1771285715712
USER	Shopping Spree	222	START	1771285715772	1771285715772
USER	Shopping Spree	223	START	1771285715821	1771285715821
USER	Shopping Spree	224	START	1771285715882	1771285715882
USER	Shopping Spree	225	START	1771285715941	1771285715941
USER	Shopping Spree	226	START	1771285716001	1771285716001
USER	Shopping Spree	227	START	1771285716062	1771285716062
USER	Shopping Spree	228	START	1771285716122	1771285716122
USER	Shopping Spree	229	START	1771285716182	1771285716182
USER	Shopping Spree	230	START	1771285716232	1771285716232
USER	Shopping Spree	231	START	1771285716292	1771285716292
USER	Shopping Spree	232	START	1771285716352	1771285716352
USER	Shopping Spree	233	START	1771285716411	1771285716411
USER	Shopping Spree	234	START	1771285716471	1771285716471
USER	Shopping Spree	235	START	1771285716531	1771285716531
USER	Shopping Spree	236	START	1771285716592	1771285716592
USER	Shopping Spree	237	START	1771285716652	1771285716652
USER	Shopping Spree	238	START	1771285716711	1771285716711
USER	Shopping Spree	239	START	1771285716762	1771285716762
USER	Shopping Spree	240	START	1771285716821	1771285716821
USER	Shopping Spree	241	START	1771285716882	1771285716882
USER	Shopping Spree	242	START	1771285716942	1771285716942
USER	Shopping Spree	243	START	1771285717001	1771285717001
USER	Shopping Spree	244	START	1771285717062	1771285717062
USER	Shopping Spree	245	START	1771285717121	1771285717121
USER	Shopping Spree	246	START	1771285717182	1771285717182
USER	Shopping Spree	247	START	1771285717231	1771285717231
USER	Shopping Spree	248	START	1771285717292	1771285717292
USER	Shopping Spree	249	START	1771285717352	1771285717352
USER	Shopping Spree	250	START	1771285717412	1771285717412
USER	Shopping Spree	251	START	1771285717471	1771285717471
USER	Shopping Spree	252	START	1771285717531	1771285717531
USER	Shopping Spree	253	START	1771285717592	1771285717592
USER	Shopping Spree	254	START	1771285717651	1771285717651
USER	Shopping Spree	255	START	1771285717712	1771285717712
USER	Shopping Spree	256	START	1771285717762	1771285717762
USER	Shopping Spree	257	START	1771285717821	1771285717821
USER	Shopping Spree	258	START	1771285717882	1771285717882
USER	Shopping Spree	259	START	1771285717941	1771285717941
USER	Shopping Spree	260	START	1771285718002	1771285718002
USER	Shopping Spree	261	START	1771285718062	1771285718062
USER	Shopping Spree	262	START	1771285718121	1771285718121
USER	Shopping Spree	263	START	1771285718181	1771285718181
USER	Shopping Spree	264	START	1771285718241	1771285718241
USER	Shopping Spree	265	START	1771285718311	1771285718311
USER	Shopping Spree	266	START	1771285718372	1771285718372
USER	Shopping Spree	267	START	1771285718431	1771285718431
USER	Shopping Spree	268	START	1771285718492	1771285718492
USER	Shopping Spree	269	START	1771285718561	1771285718561
USER	Shopping Spree	270	START	1771285718621	1771285718621
USER	Shopping Spree	271	START	1771285718681	1771285718681
USER	Shopping Spree	272	START	1771285718742	1771285718742
USER	Shopping Spree	273	START	1771285718811	1771285718811
USER	Shopping Spree	274	START	1771285718871	1771285718871
USER	Shopping Spree	275	START	1771285718931	1771285718931
USER	Shopping Spree	276	START	1771285718991	1771285718991
USER	Shopping Spree	277	START	1771285719061	1771285719061
USER	Shopping Spree	278	START	1771285719121	1771285719121
USER	Shopping Spree	279	START	1771285719182	1771285719182
USER	Shopping Spree	280	START	1771285719232	1771285719232
USER	Shopping Spree	281	START	1771285719291	1771285719291
USER	Shopping Spree	282	START	1771285719352	1771285719352
USER	Shopping Spree	283	START	1771285719412	1771285719412
USER	Shopping Spree	284	START	1771285719471	1771285719471
USER	Shopping Spree	285	START	1771285719531	1771285719531
USER	Shopping Spree	286	START	1771285719592	1771285719592
USER	Shopping Spree	287	START	1771285719651	1771285719651
USER	Shopping Spree	288	START	1771285719711	1771285719711
USER	Shopping Spree	289	START	1771285719761	1771285719761
USER	Shopping Spree	290	START	1771285719822	1771285719822
USER	Shopping Spree	291	START	1771285719881	1771285719881
USER	Shopping Spree	292	START	1771285719941	1771285719941
USER	Shopping Spree	293	START	1771285720002	1771285720002
USER	Shopping Spree	294	START	1771285720061	1771285720061
USER	Shopping Spree	295	START	1771285720121	1771285720121
USER	Shopping Spree	296	START	1771285720182	1771285720182
USER	Shopping Spree	297	START	1771285720241	1771285720241
USER	Shopping Spree	298	START	1771285720311	1771285720311
USER	Shopping Spree	299	START	1771285720371	1771285720371
USER	Shopping Spree	300	START	1771285720431	1771285720431
USER	Shopping Spree	301	START	1771285720491	1771285720491
USER	Shopping Spree	302	START	1771285720561	1771285720561
USER	Shopping Spree	303	START	1771285720622	1771285720622
USER	Shopping Spree	304	START	1771285720681	1771285720681
USER	Shopping Spree	305	START	1771285720741	1771285720741
USER	Shopping Spree	306	START	1771285720813	1771285720813
USER	Shopping Spree	307	START	1771285720871	1771285720871
USER	Shopping Spree	308	START	1771285720932	1771285720932
USER	Shopping Spree	309	START	1771285720992	1771285720992
USER	Shopping Spree	310	START	1771285721062	1771285721062
USER	Shopping Spree	311	START	1771285721121	1771285721121
USER	Shopping Spree	312	START	1771285721182	1771285721182
USER	Shopping Spree	313	START	1771285721231	1771285721231
USER	Shopping Spree	314	START	1771285721291	1771285721291
USER	Shopping Spree	315	START	1771285721351	1771285721351
USER	Shopping Spree	316	START	1771285721412	1771285721412
USER	Shopping Spree	317	START	1771285721471	1771285721471
USER	Shopping Spree	318	START	1771285721531	1771285721531
USER	Shopping Spree	319	START	1771285721592	1771285721592
USER	Shopping Spree	320	START	1771285721652	1771285721652
USER	Shopping Spree	321	START	1771285721711	1771285721711
USER	Shopping Spree	322	START	1771285721762	1771285721762
USER	Shopping Spree	323	START	1771285721821	1771285721821
USER	Shopping Spree	324	START	1771285721881	1771285721881
USER	Shopping Spree	325	START	1771285721942	1771285721942
USER	Shopping Spree	326	START	1771285722001	1771285722001
